,event.id,team,opponent,results,outcome_code,win.pct,draw.pct,xP
71,11352584,Liverpool,Aston Villa,[1 1 1 ... 1 2 2],[1 1 1 ... 1 1 1],0.8693,0.1105,2.7184
72,11352590,Luton Town,West Ham United,[ 0  2 -1 ... -2  0 -2],[ 0  1 -1 ... -1  0 -1],0.2397,0.3,1.0191
73,11352590,West Ham United,Luton Town,[ 0 -2  1 ...  2  0  2],[ 0 -1  1 ...  1  0  1],0.4603,0.3,1.6809
74,11352594,Fulham,Manchester City,[-1 -1 -2 ... -3 -2 -3],[-1 -1 -1 ... -1 -1 -1],0.0201,0.1005,0.1608
75,11352594,Manchester City,Fulham,[1 1 2 ... 3 2 3],[1 1 1 ... 1 1 1],0.8794,0.1005,2.7386999999999997
76,11352597,Everton,Sheffield United,[2 0 2 ... 0 0 0],[1 0 1 ... 0 0 0],0.4517,0.3303,1.6854
77,11352597,Sheffield United,Everton,[-2  0 -2 ...  0  0  0],[-1  0 -1 ...  0  0  0],0.218,0.3303,0.9843
78,11352600,Bournemouth,Chelsea,[-2 -1 -1 ... -2  1  0],[-1 -1 -1 ... -1  1  0],0.2105,0.3422,0.9737
79,11352600,Chelsea,Bournemouth,[ 2  1  1 ...  2 -1  0],[ 1  1  1 ...  1 -1  0],0.4473,0.3422,1.6841
80,11352602,Aston Villa,Crystal Palace,[ 1  2 -1 ...  1  2  3],[ 1  1 -1 ...  1  1  1],0.8224,0.1354,2.6026000000000002
81,11352602,Crystal Palace,Aston Villa,[-1 -2  1 ... -1 -2 -3],[-1 -1  1 ... -1 -1 -1],0.0422,0.1354,0.262
82,11352605,Arsenal,Everton,[1 2 1 ... 1 1 0],[1 1 1 ... 1 1 0],0.6642,0.2944,2.287
83,11352605,Everton,Arsenal,[-1 -2 -1 ... -1 -1  0],[-1 -1 -1 ... -1 -1  0],0.0414,0.2944,0.41859999999999997
84,11352608,Fulham,Luton Town,[0 1 0 ... 0 0 1],[0 1 0 ... 0 0 1],0.2931,0.4502,1.3295000000000001
85,11352608,Luton Town,Fulham,[ 0 -1  0 ...  0  0 -1],[ 0 -1  0 ...  0  0 -1],0.2567,0.4502,1.2203
86,11352611,Brighton & Hove Albion,Manchester United,[ 4 -1  0 ... -1  2  0],[ 1 -1  0 ... -1  1  0],0.6291,0.254,2.1413
87,11352611,Manchester United,Brighton & Hove Albion,[-4  1  0 ...  1 -2  0],[-1  1  0 ...  1 -1  0],0.1169,0.254,0.6047
88,11352615,Brentford,Newcastle United,[-2 -1 -1 ... -1 -2  0],[-1 -1 -1 ... -1 -1  0],0.0991,0.3285,0.6258
89,11352615,Newcastle United,Brentford,[2 1 1 ... 1 2 0],[1 1 1 ... 1 1 0],0.5724,0.3285,2.0457
