,addedTime,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,bodyPart,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,draw.start.x,draw.start.y,event.awayTeam.name,event.awayTeam.slug,event.homeTeam.name,event.homeTeam.slug,event.id,event.slug,event.winnerCode,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalMouthLocation,goalType,homeTeam_False,homeTeam_True,id,incidentType,isHome,opponent,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,player.firstName,player.id,player.lastName,player.name,player.position,player.shortName,player.slug,player.userCount,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,reversedPeriodTime,reversedPeriodTimeSeconds,shotType,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,situation,team,time,timeSeconds,xg,xgot,shot.angle,shot.distance,xG,xG_per90,statistics.minutesPlayed,statistics.expectedAssists
10,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,54.1,0,54.1,82.9,50.0,11.5,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,45.9,17.1,low-right,penalty,0,1,2138617,shot,True,Luton Town,0,1,0,0,0,0,975079,0,João Pedro,F,J. Pedro,joao-pedro,3903,11.5,50.0,0,20,1181,goal,0,0,0,0,1,0,0,0,penalty,Brighton & Hove Albion,71,4219,0.0,0.0,51.92538029437744,12.791328443185254,0.7824263791763789,0.800208796884933,88,0.0329176
11,0,1.6,48.4,0,left-foot,0,1,0,0,48.4,1.6,50.2,0,50.2,84.2,40.0,11.7,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,49.8,15.8,low-centre,0,0,1,2138506,shot,True,Luton Town,0,0,0,0,1,0,301288,0,Solly March,M,S. March,solly-march,2228,11.7,40.0,0,28,1634,save,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,63,3766,0.0,0.0,32.773623306927504,15.942622055398402,0.026479377765092047,0.03220464863322,74,0.0185244
12,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,44.8,0,44.8,98.1,19.9,12.8,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,55.2,1.9,left,0,0,1,2138339,shot,True,Luton Town,0,0,0,1,0,0,48480,0,Pascal Groß,M,P. Groß,pascal-gross,2191,12.8,19.9,0,39,2300,post,0,0,0,0,0,0,1,0,set-piece,Brighton & Hove Albion,52,3100,0.0,0.0,7.9049849658460785,32.69239410527661,0.105,0.105,90,0.456669
13,0,12.0,41.5,0,right-foot,0,0,0,1,41.5,12.0,48.8,0,48.8,81.0,40.8,13.2,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.2,19.0,low-centre,0,0,1,2138271,shot,True,Luton Town,1,0,0,0,0,0,975079,0,João Pedro,F,J. Pedro,joao-pedro,3903,13.2,40.8,0,43,2568,block,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,48,2832,0.0,0.0,33.227117100440154,16.706452572029526,0.008311688311688312,0.0085005903187721,88,0.0329176
14,0,1.9,49.8,0,head,1,0,0,0,49.8,1.9,46.1,0,46.1,86.1,48.0,14.4,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,53.9,13.9,low-left,0,0,1,2138262,shot,True,Luton Town,0,0,0,0,1,0,962012,0,Jan Paul van Hecke,D,J. P. van Hecke,jan-paul-van-hecke,513,14.4,48.0,0,44,2622,save,0,1,0,0,0,0,0,0,corner,Brighton & Hove Albion,47,2778,0.0,0.0,41.922112103707235,15.551910643739134,0.06703659188034188,0.0670365918803418,90,0.0
15,1,0.0,0.0,0,head,1,0,0,0,0.0,0.0,59.2,0,59.2,91.7,45.1,7.4,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,40.8,8.3,close-right,0,1,0,2138115,shot,False,Brighton & Hove Albion,0,0,1,0,0,0,358222,0,Carlton Morris,F,C. Morris,carlton-morris,751,7.4,45.1,0,1,2683,miss,1,0,0,0,0,0,0,0,assisted,Luton Town,45,2717,0.0,0.0,60.736861084744056,10.10356476742922,0.06355178013234278,0.0635517801323427,90,0.0881637
16,0,8.8,50.0,0,right-foot,0,0,0,1,50.0,8.8,48.8,0,48.8,81.0,52.2,25.1,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,51.2,19.0,low-centre,0,0,1,2138066,shot,True,Luton Town,1,0,0,0,0,0,341589,0,Mahmoud Dahoud,M,M. Dahoud,mahmoud-dahoud,1785,25.1,52.2,0,4,213,block,0,0,0,0,0,1,0,0,regular,Brighton & Hove Albion,42,2487,0.0,0.0,24.9608808121758,25.814938755614975,0.0,0.0,74,0.104498
17,0,8.9,47.7,0,right-foot,0,0,0,1,47.7,8.9,49.3,0,49.3,81.0,47.4,10.3,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,50.7,19.0,low-centre,0,0,1,2138055,shot,True,Luton Town,1,0,0,0,0,0,33902,0,Danny Welbeck,F,D. Welbeck,danny-welbeck,1921,10.3,47.4,0,4,216,block,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,42,2484,0.0,0.0,54.93204993337386,11.929914055929821,0.019328394496903694,0.0223019936502734,78,0.13625
18,0,3.3,47.1,0,left-foot,0,1,0,0,47.1,3.3,51.2,0,51.2,91.1,31.0,26.6,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,48.8,8.9,low-centre,0,0,1,2138015,shot,True,Luton Town,0,0,0,0,1,0,805465,0,Pervis Estupiñán,D,P. Estupiñán,pervis-estupinan,4372,26.6,31.0,0,6,308,save,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,40,2392,0.0,0.0,16.08165195681369,32.95167994469889,0.0,0.0,90,0.860694
19,0,0.0,0.0,0,right-foot,0,0,0,1,0.0,0.0,55.2,0,55.2,99.4,49.5,13.7,Luton Town,luton-town,Brighton & Hove Albion,brighton-and-hove-albion,11352252,luton-town-brighton-and-hove-albion,1,0,44.8,0.6,right,0,0,1,2137985,shot,True,Luton Town,0,0,0,1,0,0,33902,0,Danny Welbeck,F,D. Welbeck,danny-welbeck,1921,13.7,49.5,0,7,419,post,1,0,0,0,0,0,0,0,assisted,Brighton & Hove Albion,39,2281,0.0,0.0,44.436174340610684,14.804969035520044,0.5028571428571429,0.5802197802197802,78,0.13625
