,addedTime,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,bodyPart,bodyPart_head,bodyPart_left-foot,bodyPart_other,bodyPart_right-foot,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,draw.start.x,draw.start.y,event.awayTeam.name,event.awayTeam.slug,event.homeTeam.name,event.homeTeam.slug,event.id,event.slug,event.winnerCode,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalMouthLocation,goalType,homeTeam_False,homeTeam_True,id,incidentType,isHome,opponent,outcome_block,outcome_goal,outcome_miss,outcome_post,outcome_save,player.firstName,player.id,player.lastName,player.name,player.position,player.shortName,player.slug,player.userCount,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,reversedPeriodTime,reversedPeriodTimeSeconds,shotType,shot_sit_assisted,shot_sit_corner,shot_sit_fast-break,shot_sit_free-kick,shot_sit_penalty,shot_sit_regular,shot_sit_set-piece,shot_sit_throw-in-set-piece,situation,team,time,timeSeconds,xg,xgot,statistics.minutesPlayed,statistics.expectedAssists
901,,5.1,51.6,0.0,right-foot,0.0,0.0,,1,51.6,5.1,45.5,0,45.5,88.9,68.9,22.0,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,54.5,11.1,low-left,,1,0,2180340,shot,False,Burnley,1,0.0,0,,0,,913654,,Pedro Porro,M,P. Porro,pedro-porro,3242,22.0,68.9,0,11,651,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Tottenham Hotspur,35,2049,,,90,0.161792
902,,1.5,49.3,0.0,right-foot,0.0,0.0,,1,49.3,1.5,53.0,0,53.0,83.5,34.2,17.9,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,47.0,16.5,low-right,,1,0,2180333,shot,False,Burnley,0,0.0,0,,1,,356398,,James Maddison,M,J. Maddison,james-maddison,9591,17.9,34.2,0,11,658,save,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Tottenham Hotspur,35,2042,,,86,0.176908
903,,1.5,49.5,0.0,left-foot,0.0,1.0,,0,49.5,1.5,51.4,0,51.4,88.6,47.4,13.5,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,48.6,11.4,low-centre,,1,0,2180273,shot,False,Burnley,0,0.0,0,,1,,356398,,James Maddison,M,J. Maddison,james-maddison,9591,13.5,47.4,0,16,953,save,0,0.0,0.0,0.0,,1.0,0.0,,regular,Tottenham Hotspur,30,1747,,,86,0.176908
904,,11.9,39.2,0.0,right-foot,0.0,0.0,,1,39.2,11.9,49.0,0,49.0,81.0,34.2,17.9,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,51.0,19.0,low-centre,,1,0,2180267,shot,False,Burnley,1,0.0,0,,0,,1002711,,Pape Matar Sarr,M,P. M. Sarr,pape-matar-sarr,6109,17.9,34.2,0,16,955,block,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Tottenham Hotspur,30,1745,,,68,0.0365666
905,,17.0,49.6,0.0,right-foot,0.0,0.0,,1,49.6,17.0,49.0,0,49.0,81.0,49.7,18.7,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,51.0,19.0,low-centre,,0,1,2180219,shot,True,Tottenham Hotspur,1,0.0,0,,0,Luca Koleosho,1216282,,Luca Koleosho,F,L. Koleosho,luca-koleosho,452,18.7,49.7,0,22,1299,block,0,0.0,0.0,0.0,,1.0,0.0,,regular,Burnley,24,1401,,,68,0.306722
906,,,,,right-foot,0.0,0.0,,1,,,37.3,0,37.3,95.8,49.0,24.9,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,62.7,4.2,left,,0,1,2180189,shot,True,Tottenham Hotspur,0,0.0,1,,0,,990550,,Zeki Amdouni,F,Z. Amdouni,zeki-amdouni,1452,24.9,49.0,0,25,1499,miss,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Burnley,21,1201,,,60,0.184643
907,,,,,head,1.0,0.0,,0,,,30.4,0,30.4,88.9,43.9,10.5,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,69.6,11.1,left,,0,1,2180177,shot,True,Tottenham Hotspur,0,0.0,1,,0,Luca Koleosho,1216282,,Luca Koleosho,F,L. Koleosho,luca-koleosho,452,10.5,43.9,0,27,1583,miss,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Burnley,19,1117,,,68,0.306722
908,,12.7,44.8,0.0,right-foot,0.0,0.0,,1,44.8,12.7,45.6,0,45.6,76.6,33.4,53.0,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,54.4,23.4,high-left,,1,0,2183616,shot,False,Burnley,0,0.0,0,,1,,356398,,James Maddison,M,J. Maddison,james-maddison,9591,53.0,33.4,0,28,1667,save,0,0.0,0.0,0.0,,1.0,0.0,,regular,Tottenham Hotspur,18,1033,,,86,0.176908
909,,,,,right-foot,0.0,0.0,,1,,,51.2,0,51.2,80.4,59.5,6.8,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,48.8,19.6,low-centre,regular,1,0,2180157,shot,False,Burnley,0,1.0,0,,0,,111505,,Heung-min Son,F,H. M. Son,heung-min-son,46259,6.8,59.5,0,30,1746,goal,1,0.0,0.0,0.0,,0.0,0.0,,assisted,Tottenham Hotspur,16,954,,,72,0.0674035
910,,2.8,37.9,0.0,right-foot,0.0,0.0,,1,37.9,2.8,50.9,0,50.9,81.0,32.8,3.9,Tottenham Hotspur,tottenham-hotspur,Burnley,burnley,11352561,tottenham-hotspur-burnley,2,0,49.1,19.0,low-centre,,1,0,2180121,shot,False,Burnley,1,0.0,0,,0,,862223,,Manor Solomon,M,M. Solomon,manor-solomon,2424,3.9,32.8,0,32,1895,block,0,0.0,0.0,0.0,,1.0,0.0,,regular,Tottenham Hotspur,14,805,,,68,0.312919
